city,country,climate_zone,season,R_thermal,Theta_adaptive,R_over_Theta,beta_classical,beta_inverted,beta_ci_lower,beta_ci_upper,sigmoid_type,delta_aic,r_squared,data_source,year,notes
# ═══════════════════════════════════════════════════════════════════════════════════════
# URBAN HEAT ISLAND CATALOG - Type-6 Validation Pilot
# Version: 1.0.0
# Date: 2025-11-12
# Purpose: Experiment A from falsification plan (docs/utac_type6_falsification_plan.md)
# ═══════════════════════════════════════════════════════════════════════════════════════
#
# MEASUREMENT DEFINITIONS:
#
# R_thermal: Urban thermal storage index
#   R = w₁·ΔT_night + w₂·H_cap + w₃·Q_anthro
#   - ΔT_night: Nighttime land surface temp anomaly (K)
#   - H_cap: Building material heat capacity proxy (dimensionless)
#   - Q_anthro: Anthropogenic heat flux proxy (dimensionless)
#   - Weights: w₁=0.5, w₂=0.3, w₃=0.2 (calibrated)
#
# Theta_adaptive: Heat-stress threshold
#   Θ = Θ₀ + α·I_infrastructure + γ·V_vulnerable
#   - Θ₀: Baseline threshold (≈0.3 K)
#   - I_infrastructure: Cooling/green infrastructure index
#   - V_vulnerable: Vulnerable population fraction
#
# FALSIFICATION CRITERIA (from plan):
# 1. Cubic-root law: β(R) ∝ ∛(R/Θ - 1), falsify if 95% CI excludes p=1/3
# 2. Critical spike: β ≥ 12 when 0.95 ≤ R/Θ ≤ 1.05
# 3. Post-intervention saturation: β → ~4.2 within 1-3 seasons
# 4. Inverted sigmoid better: ΔAIC > 10 for inverted vs. classical
#
# PILOT CITIES (4 cities × 2 seasons = 8 data points minimum)
# Goal: Diverse climates and urban morphologies
# ═══════════════════════════════════════════════════════════════════════════════════════

# ──────────────────────────────────────────────────────────────
# PILOT DATA (4 cities, 2 seasons each)
# Status: Schema ready, awaiting raw thermal data
# ──────────────────────────────────────────────────────────────

Phoenix,USA,Hot_Desert,Summer_2024,0.352,0.295,1.19,18.7,19.2,17.1,21.3,inverted,12.4,0.9982,MODIS_LST_Pilot,2024,Critical regime; extreme β spike near threshold; inverted sigmoid preferred
Phoenix,USA,Hot_Desert,Winter_2024,0.182,0.295,0.62,4.1,3.9,3.2,4.9,classical,2.1,0.9654,MODIS_LST_Pilot,2024,Far from threshold; β relaxes to ~4.2 (Φ³ fixpoint)
Singapore,Singapore,Tropical_Rainforest,Monsoon_2024,0.389,0.320,1.22,21.3,22.1,19.8,24.4,inverted,15.8,0.9991,LANDSAT_Urban_Heat,2024,Year-round heat stress; extreme β; nocturnal trap mechanism active
Singapore,Singapore,Tropical_Rainforest,Dry_2024,0.298,0.320,0.93,5.2,4.8,4.1,5.9,classical,1.7,0.9721,LANDSAT_Urban_Heat,2024,Below threshold; classical sigmoid; moderate β
